UNKNOWN
version=1
nRows=100
nColumns=4
inDegrees=no
endheader
time	/jointset/Wrist/flexion/value	Before Surgery	After Surgery
     89.00000000	     55.85858602	     -4.55163636	     -5.23175238
     90.00000000	     57.27272744	     -4.49162820	     -5.15086472
     91.00000000	     58.68686886	     -4.43169136	     -5.07039181
     92.00000000	     60.10101028	     -4.37154876	     -4.99008639
     93.00000000	     61.51515170	     -4.31114857	     -4.90992035
     94.00000000	     62.92929311	     -4.25062456	     -4.83005272
     95.00000000	     64.34343453	     -4.18988649	     -4.75039672
     96.00000000	     65.75757595	     -4.12957100	     -4.67159129
     97.00000000	     67.17171737	     -4.06887245	     -4.59283250
     98.00000000	     68.58585879	     -4.00817126	     -4.51450184
     99.00000000	     70.00000021	     -3.94738777	     -4.43652006
