UNKNOWN
version=1
nRows=100
nColumns=4
inDegrees=no
endheader
time	/jointset/Wrist/flexion/value	AfterSurgery	BeforeSurgery
     89.00000000	     55.85858602	     -0.01244849	     -0.00404167
     90.00000000	     57.27272744	     -0.01229859	     -0.00398616
     91.00000000	     58.68686886	     -0.01214676	     -0.00393042
     92.00000000	     60.10101028	     -0.01199300	     -0.00387445
     93.00000000	     61.51515170	     -0.01183736	     -0.00381826
     94.00000000	     62.92929311	     -0.01167986	     -0.00376185
     95.00000000	     64.34343453	     -0.01152052	     -0.00370522
     96.00000000	     65.75757595	     -0.01135937	     -0.00364839
     97.00000000	     67.17171737	     -0.01119643	     -0.00359134
     98.00000000	     68.58585879	     -0.01103174	     -0.00353409
     99.00000000	     70.00000021	     -0.01086532	     -0.00347665
